ID  объявления,Количество комнат,Тип,Метро,Адрес,"Площадь, м2",Дом,Парковка,Цена,Телефоны,Описание,Ремонт,"Площадь комнат, м2",Балкон,Окна,Санузел,Можно с детьми/животными,Дополнительно,Серия дома,"Высота потолков, м",Лифт,Мусоропровод,Ссылка на объявление
317523322,"2, Изолированная",Квартира,м. Ломоносовский проспект (10 мин пешком),"Москва, Мосфильмовская улица, 33",43.2/25.0/5.0,"1/5, Панельный",наземная,"80000.0 руб./ За месяц, Залог - 80000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",+79898326345,"Впервые сдаётся светлая 2-комнатная квартира с евроремонтом и совмещённым санузлом. Её можно посмотреть когда вам удобно: бронируете время, забираете ключи или встречаетесь с менеджером и спокойно осматриваете. Если всё понравится, договор подпишем онлайн и будем поддерживать вас на всех этапах аренды.

Квартира оборудована кухонным гарнитуром, мебелью и бытовой техникой. Установлен кондиционер, есть холодильник, стиральная машина, телевизор, плита. Проведён интернет и подключено кабельное/цифровое ТВ. Полы - плитка и ламинат. Окна выходят во двор, на северо-восток. Есть бесплатная парковка.

Собственник готов заселить не более 2 взрослых жильцов с детьми или заключить договор с юридическим лицом. С питомцем нельзя. Возможен торг. 

Дом находится в районе с развитой инфраструктурой: в пешей доступности - школы, продуктовые супермаркеты, кафе и закусочные, салоны красоты и парикмахерские, аптеки и медицинские учреждения. Рядом - парк перед посольством КНР, Ботанический сад МГУ, недалеко ..., Возможен торг, 21 фото",Евроремонт,9-16,,Во двор,Совмещенный (1),Можно с детьми,"Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Кондиционер, Телевизор, Холодильник, Интернет",,2.7,,,https://www.cian.ru/rent/flat/317523322
317669263,"2, Изолированная",Квартира,м. Поклонная (17 мин пешком),"Москва, улица Пудовкина, 6К3",58.6/31.0/9.0,"8/14, Кирпичный",наземная,"100000.0 руб./ За месяц, Залог - 100000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",+79802809025,"Сдаётся уютная двухкомнатная квартира в Москве, на улице Пудовкина, дом 6к3. Общая площадь квартиры составляет 58,6 кв. м, жилая площадь — 31 кв. м, кухня — 9 кв. м. Квартира расположена на 8 этаже 14-этажного кирпичного дома, построенного в 1967 году. До станции метро Поклонная всего 17 минут пешком. 

Квартира с евроремонтом, что делает её особенно привлекательной. В каждой комнате есть мебель, а на кухне установлена качественная техника: кондиционер, холодильник, посудомоечная машина, стиральная машина и телевизор. Высокие потолки 2,7 метра создают ощущение простора. Окна выходят во двор, из окон потрясающие виды на океан зелени. Поэтому в квартире всегда тихо и спокойно. Ванная комната оборудована ванной,  совмещённый санузел.

Дом находится в отличном состоянии, оборудован пассажирским и грузовым лифтами, есть мусоропровод. Для автомобилистов предусмотрена наземная парковка за шлагбаумом. Район обжитой, с развитой инфраструктурой: рядом находятся школы, детские сады и магазины, чт ..., 20 фото",Евроремонт,,,Во двор,Совмещенный (1),Можно с детьми,"Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Кондиционер, Посудомоечная машина, Телевизор, Холодильник, Интернет",,2.7,"Пасс (1), Груз (1)",Да,https://www.cian.ru/rent/flat/317669263
316259124,2,Квартира,м. Кунцевская (4 мин на машине),"Москва, Можайское шоссе, 32",56.0/30.6/10.0,"10/10, Кирпичный",наземная,"50000.0 руб./ За месяц, Залог - 50000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",+79802807287,"Сдаётся двухкомнатная квартира, комнаты изолированные, балкон просторный, застекленный. Кухня большая. санузел раздельный. Ремонт косметический. На длительный срок., 12 фото",Косметический,,Балкон (1),На улицу,Раздельный (1),Можно с детьми,"Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Кондиционер, Телевизор, Холодильник, Интернет",,2.8,"Пасс (1), Груз (1)",Да,https://www.cian.ru/rent/flat/316259124
313237914,2,Квартира,м. Рабочий посёлок (9 мин пешком),"Москва, Гвардейская улица, 14",45.0/30.0/6.0,"9/9, Кирпичный",наземная,"55000.0 руб./ За месяц, Залог - 55000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",+79161833329,"Вашему вниманию хорошая двухкомнатная квартира в шаговой доступность от станции  метро  ""Рабочий посёлок "",в кирпичном доме на 9 этаже девяти этажного дома.Квартира в хорошем  состоянии ,окна выходят во двор ,имеется застекленный балкон ,отделанный вагонкой .Комнаты изолированные,одна из комнат соединена  с кухней .Большой санузел ,отделанный плиткой  В кухне встроенный гарнитура,микроволновка,духовой шкаф, холодильник .Есть два спальных места .Квартира уютная и тихая .Тамбур на две квартиры .Развитая инфраструктура. Сдаётся на длительный срок, 15 фото",Косметический,,Балкон (1),Во двор,Совмещенный (1),Можно с детьми,"Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Холодильник, Интернет",,2.64,Пасс (1),Да,https://www.cian.ru/rent/flat/313237914
317424869,"2, Изолированная",Квартира,м. Пионерская (8 мин пешком),"Москва, Кастанаевская улица, 35К1",54.0/32.0/9.0,8/9,наземная,"70000.0 руб./ За месяц, Залог - 70000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",+79164774189,"Сдается 2-х комнатная квартира (окна на 2 стороны). ХОРОШИЙ РЕМОНТ! Можно с детьми. Без домашних животных. На длительный срок. Во всей квартире установлены стеклопакеты с москитными сетками и жалюзи на окнах. Есть застекленная большая лоджия. БЫЛА КУПЛЕНА НОВАЯ МЕБЕЛЬ: 2 ДИВАНА раскладывающихся, 2-х спальная КРОВАТЬ, СТЕНКА И ПРИХОЖАЯ!!!! Есть кондиционеры. Комнаты ИЗОЛИРОВАННЫЕ. Есть вся необходимая мебель, бытовая техника, телевизоры. На кухне микроволновая печь, мультиварка, электрогриль, стиральная машина, вытяжка. Рядом пруд (400 м) с зоной отдыха, Филёвский парк и Москва-река, вся инфраструктура в шаговой доступности. До метро Славянский бульвар и МЦД1 - 5 минут пешком, Пионерская - 5 минут пешком!!! Залог делим на 2 части. Рассмотрим приличных, порядочных людей, обсудим состав!!!, 22 фото",Косметический,,Лоджия (1),На улицу и двор,Раздельный (1),Можно с детьми,"Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Кондиционер, Телевизор, Холодильник, Интернет",,,Пасс (1),,https://www.cian.ru/rent/flat/317424869
316887415,"2, Изолированная",Квартира,м. Рабочий посёлок (12 мин пешком),"Москва, Гвардейская улица, 1",54.0/35.0/10.0,12/14,,"72000.0 руб./ За месяц, Залог - 72000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",+79852167630,"ОТЛИЧНОЕ ПРЕДЛОЖЕНИЕ. НЕ ПРОПУСТИТЕ. Сдается на длительный срок. Для связи просьба звонить по телефону в разумное время, круглосуточно не работаем, на сообщения через ЦИАН не всегда есть возможность ответить, они могут работать некорректно. Квартира расположена в кирпичном доме, с консьержем, подъезд в цветах, приличные соседи. Просторная двухкомнатная квартира, общей площадью 54 м2, изолированные комнаты 18 м2 и 17 м2 (с большой заст. лоджией), кухня 10 м2, санузел совместный, функциональный коридор. Приличное состояние, качественный ремонт делали под себя, вся мебель и бытовая техника в наличии (есть посудомоечная машина, кондиционеры). Развитая инфраструктура и транспортная доступность., 38 фото",Евроремонт,,Лоджия (1),,Совмещенный (1),,"Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Кондиционер, Посудомоечная машина, Телевизор, Холодильник, Интернет",,,"Пасс (1), Груз (1)",,https://www.cian.ru/rent/flat/316887415
274423061,2,Квартира,м. Давыдково (9 мин пешком),"Москва, улица Вересаева, 12",64.0/33.0/12.0,"7/14, Кирпичный",,"80000.0 руб./ За месяц, Залог - 80000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес","+79858824080, +79853832850","Сдается двухкомнатная квартира, частично меблированна. Комнаты раздельные, 2 затекленные лоджии, СУР, Дом кирпичный, с консьержем, шлагбаум на въезде., 14 фото",Косметический,,Лоджия (2),Во двор,Раздельный (1),"Можно с детьми, Можно с животными","Мебель на кухне, Ванна, Стиральная машина, Кондиционер, Посудомоечная машина, Холодильник, Интернет",,,Пасс (2),Да,https://www.cian.ru/rent/flat/274423061
304317373,2,Квартира,м. Москва-Сити (8 мин пешком),"Москва, Кутузовский проспект, 22",54.0/30.0/8.0,"3/6, Кирпичный",наземная,"85000.0 руб./ За месяц, Залог - 85000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",+79868017664,"Сдается уютная; укомплектованная всей мебелью и необходимой техникой квартира, микроволновая печь, холодильник, пылесос, стиральная машина,кондиционер. Квартира расположенная в элитном районе г. Москвы. все магазины, рестораны, банки, все рядом. комфортное место для жизни., 23 фото",Косметический,,,На улицу,Раздельный (1),,"Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Кондиционер, Холодильник",,3.2,Пасс (2),,https://www.cian.ru/rent/flat/304317373
317443759,"2, Изолированная",Квартира,м. Ломоносовский проспект (10 мин пешком),"Москва, улица Дружбы, 2/19",46.0,2/9,наземная,"90000.0 руб./ За месяц, Залог - 90000 руб., Коммунальные услуги включены, Срок аренды - На несколько месяцев, Предоплата 1 мес",+79820865725,"Игорь. Квартира на короткий срок с 26 мая на летний период. 

Предлагается замечательная квартира с современным ремонтом в кирпичном доме. Комнаты изолированные, отличный современный ремонт, все необходимое присутствует, все в рабочем, хорошем состоянии. Много шкафов. Полы ламинат, окна ПВХ. Из техники в дополнении ко всему есть еще посудомоечная машина, кондиционер. Отдельный тамбур, спокойные соседи. 

В ПЕШЕЙ ДОСТУПНОСТИ ОТ МЕТРО. Дом в хорошем состоянии, проведен капитальный ремонт подьезда, освежили заменилив все коммуникации на современные включая входную группу. Придомовая территория уютная в зелени, много мест для парковки во внутреннем дворе. Развитая инфраструктура рядом парк с прудом, магазины., 24 фото",Евроремонт,,,Во двор,Совмещенный (1),"Можно с детьми, Можно с животными","Мебель в комнатах, Мебель на кухне, Душевая кабина, Стиральная машина, Кондиционер, Посудомоечная машина, Телевизор, Холодильник, Интернет",,,Пасс (1),,https://www.cian.ru/rent/flat/317443759
317529822,"2, Оба варианта",Квартира,м. Переделкино (9 мин пешком),"Москва, улица 6-я Новые Сады, 2, ш. Боровское (8 км до МКАД), ш. Киевское (9 км до МКАД)",64.0/36.0/14.0,7/10,наземная,"90000.0 руб./ За месяц, Залог - 90000 руб., Коммунальные услуги включены, Срок аренды - Длительный, Предоплата 1 мес",+79851633213,"Замечательная просторная квартира общ. пл. 90 кв.м. Одна комната большая гостиная-кухня, вторая отдельная изолированная спальня, 2-х спальная кровать матрасом, вместительный платяной шкаф-купе под потолок, есть оборудованная гардеробная комната, две большие застеклённые лоджии, окна стеклопакеты, большая ванная комната, просторный холл. На кухне встроенная мебель и бытовая техника, встроенная посудомоечная машина, духовой шкаф, свч, варочная поверхность, установлен кондиционер, проведён высокоскоростной интернет, обеденная зона, три окна. Соседи приличная публика, закрытый двор, подземный паркинг, круглосуточная охрана и видеонаблюдение, удобный выезд, рядом вся инфраструктура района и т.д., 18 фото",Евроремонт,,"Балкон (1), Лоджия (1)",Во двор,Раздельный (1),"Можно с детьми, Можно с животными","Мебель в комнатах, Мебель на кухне, Ванна, Стиральная машина, Кондиционер, Посудомоечная машина, Телевизор, Холодильник, Интернет",,,"Пасс (1), Груз (1)",,https://www.cian.ru/rent/flat/317529822
